Date,Open,High,Low,Close,Adj Close,Volume
2008-07-29,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-07-30,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-07-31,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-01,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-04,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-05,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-06,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-07,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-08,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-11,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-12,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-13,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-14,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-15,146.867981,146.867981,146.867981,146.867981,72.384048,0
2008-08-18,124.709915,130.942673,123.581009,130.942673,64.535248,5374671
2008-08-19,130.942673,137.182739,130.924408,134.628983,66.352036,9689791
2008-08-20,127.899361,131.158218,127.899361,131.158218,64.641472,2976105
2008-08-21,121.542389,126.774109,121.542389,126.774109,62.480759,3076011
2008-08-22,115.474037,120.526733,115.474037,120.526733,59.401730,2598652
2008-08-25,115.539803,116.138962,112.525719,112.565910,55.478226,3018257
2008-08-26,112.565910,115.083122,106.939621,106.939621,52.705303,1977318
2008-08-27,101.594650,105.218857,101.594650,105.218857,51.857220,2211618
2008-08-28,102.292458,105.218857,102.292458,102.292458,50.414948,1137286
2008-08-29,102.292458,102.661453,102.292458,102.292458,50.414948,612300
2008-09-02,102.292458,102.296112,102.292458,102.292458,50.414948,134667
2008-09-03,102.292458,103.319069,102.292458,102.665108,50.598610,717954
2008-09-04,102.292458,102.515312,102.292458,102.515312,50.524780,466410
2008-09-05,102.292458,106.862900,102.292458,105.584198,52.037285,1861537
2008-09-08,105.584198,108.141602,102.292458,102.292458,50.414948,2110891
2008-09-09,102.292458,102.350906,102.292458,102.292458,50.414948,70071
2008-09-10,102.292458,103.739212,102.292458,102.697983,50.614822,997691
2008-09-11,102.292458,102.661453,102.292458,102.661453,50.596813,101548
2008-09-12,102.292458,102.292458,102.292458,102.292458,50.414948,4653
2008-09-15,102.292458,102.292458,102.292458,102.292458,50.414948,205012
2008-09-16,102.292458,102.292458,102.292458,102.292458,50.414948,821
2008-09-17,102.292458,102.292458,102.292458,102.292458,50.414948,0
2008-09-18,102.292458,102.292458,102.292458,102.292458,50.414948,0
2008-09-19,102.292458,102.292458,102.292458,102.292458,50.414948,9306
2008-09-22,102.292458,102.292458,102.292458,102.292458,50.414948,4105
2008-09-23,102.292458,102.292458,102.292458,102.292458,50.414948,8758
2008-09-24,102.292458,102.292458,102.292458,102.292458,50.414948,1916
2008-09-25,102.292458,102.292458,102.292458,102.292458,50.414948,90052
2008-09-26,102.292458,102.292458,102.292458,102.292458,50.414948,0
2008-09-29,102.292458,102.292458,102.292458,102.292458,50.414948,29013
2008-09-30,102.292458,102.292458,102.292458,102.292458,50.414948,16422
2008-10-01,102.292458,102.292458,102.292458,102.292458,50.414948,0
2008-10-02,102.292458,102.292458,102.292458,102.292458,50.414948,0
